id,zip,score,process,address,restaurant,inspection-date,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country
11216060,78748,73,"Routine Inspection","509 W SLAUGHTER LN AUSTIN, TX 78748 ","Rosa's Cafe & Tortilla Factory #42",2014-12-28T00:00:00Z,30.171358,-97.798327,1,range_interpolation,509,"W Slaughter Ln",Austin,TX,"Travis County",78748,US
11216106,78757,91,"Routine Inspection","7301 BURNET RD Unit 100 AUSTIN, TX 78757 ","Tacodeli IV, LLC",2014-12-28T00:00:00Z,30.348778,-97.7353,1,range_interpolation,7301,"Burnet Rd",Austin,TX,"Travis County",78757,US
11216206,78738,96,"Routine Inspection","3620 S FM 620 RD Unit 160 BEE CAVE, TX 78738 ","BC - Pizza Hut",2014-12-28T00:00:00Z,30.317556,-97.950241,1,range_interpolation,3620,"Fm 620",Austin,TX,"Travis County",78738,US
11216228,78752,71,"Routine Inspection","6801 AIRPORT BLVD AUSTIN, TX 78752 ","Restaurante Jasmines #2",2014-12-28T00:00:00Z,30.333791,-97.71694,1,range_interpolation,6801,"Airport Blvd",Austin,TX,"Travis County",78752,US
11216974,78753,93,"Routine Inspection","102 W POWELL LN Unit B AUSTIN, TX 78753 ","Nono's Tacos",2014-12-28T00:00:00Z,30.347671,-97.703099,1,range_interpolation,102,"Powell Ln",Austin,TX,"Travis County",78753,US
11219722,78757,85,"Routine Inspection","8620 BURNET RD Unit 132 AUSTIN, TX 78757 ","Daily Juice Cafe",2015-12-27T00:00:00Z,30.368404,-97.727711,1,range_interpolation,8620,"Burnet Rd",Austin,TX,"Travis County",78757,US
11219982,78759,72,"Routine Inspection","8650 SPICEWOOD SPRINGS RD Unit 114A AUSTIN, TX 78759 ","Asia Cafe",2014-12-28T00:00:00Z,30.433576,-97.771406,1,range_interpolation,8650,"Spicewood Springs Rd",Austin,TX,"Travis County",78759,US
11220216,78751,96,"Routine Inspection","808 E 51ST ST AUSTIN, TX 78751 ","Casey's New Orleans Snowballs",2014-12-28T00:00:00Z,30.312195,-97.715259,0.9,range_interpolation,808,"E 51st St",Austin,TX,"Travis County",78751,US
11220450,78751,100,"Routine Inspection","101 W KOENIG LN Unit 200 AUSTIN, TX 78751 ","Cloud 9 Cotton Candy",2015-12-27T00:00:00Z,30.322572,-97.719557,1,range_interpolation,101,"W Koenig Ln",Austin,TX,"Travis County",78751,US
11221310,78702,80,"Routine Inspection","1914 E 6TH ST Unit A AUSTIN, TX 78702 ","The Counter Cafe",2014-12-28T00:00:00Z,30.261768,-97.722297,1,range_interpolation,1914,"E 6th St",Austin,TX,"Travis County",78702,US
11221365,78701,87,"Routine Inspection","500 W 5TH ST AUSTIN, TX 78701 ",Fixe,2014-12-28T00:00:00Z,30.268232,-97.747706,1,range_interpolation,500,"W 5th St",Austin,TX,"Travis County",78701,US
11222208,78744,97,"Routine Inspection","2124 E ST ELMO RD AUSTIN, TX 78744 ","Harmony School of Innovation - Austin",2014-12-28T00:00:00Z,30.209839,-97.746323,1,range_interpolation,2124,"E St Elmo Rd",Austin,TX,"Travis County",78744,US
11222340,78725,80,"Routine Inspection","14509 FM 969 RD Unit 105 AUSTIN, TX 78725 ","Fresh Donuts",2014-12-28T00:00:00Z,30.247379,-97.583481,1,range_interpolation,14509,"Fm 969",Austin,TX,"Travis County",78724,US
11223093,78756,84,"Routine Inspection","5425 BURNET RD AUSTIN, TX 78756 ","Brooklyn Pie",2014-12-28T00:00:00Z,30.328987,-97.739642,1,range_interpolation,5425,"Burnet Rd",Austin,TX,"Travis County",78756,US
11223193,78701,90,"Routine Inspection","603 SABINE ST AUSTIN, TX 78701 ","Waller Creek Pub House",2014-12-28T00:00:00Z,30.26615,-97.735978,1,range_interpolation,603,"Sabine St",Austin,TX,"Travis County",78701,US
